"","cell_line","treatment","time","concentration","cell_count"
"3403","D015T01","Napabucasin",96,1,9253
"3404","D015T01","Ponatinib",96,0.2,13071
"3405","D015T01","Vorinostat",96,0.2,7002
"3406","D015T01","Dabrafenib mit Trametinib",96,0.04,10941
"3407","D015T01","Irinotecan / SN-38",96,0.0016,9313
"3408","D015T01","AZD 4547",96,0.008,10773
"3409","D015T01","Alisertib",96,0.2,12018
"3410","D015T01","5-FU",96,0.008,9001
"3411","D015T01","Doxorubicin",96,0.008,10414
"3412","D015T01","Trifluoridin/Tipiracil",96,1,7697
"3413","D015T01","Paclitaxel",96,1,11563
"3414","D015T01","Defactinib",96,0.0016,12952
"3415","D015T01","Defactinib",96,0.008,9887
"3416","D015T01","VX-702",96,0.2,12245
"3417","D015T01","Afatinib",96,0.04,9337
"3418","D015T01","Mitomycin C",96,0.0016,11060
"3419","D015T01","Alisertib",96,0.0016,8810
"3420","D015T01","DMSO",96,0,11132
"3421","D015T01","MK-8776",96,0.0016,10629
"3422","D015T01","Dasatinib",96,0.008,10976
"3423","D015T01","YM155",96,0.04,10821
"3424","D015T01","AZD 5363",96,1,11060
"3425","D015T01","Miglitol",96,0.0016,11240
"3426","D015T01","Irinotecan mit 5-FU + Gefitinib",96,0.2,4968
"3427","D015T01","Vorinostat",96,1,192
"3428","D015T01","Vismodegib",96,0.008,12772
"3429","D015T01","Afatinib",96,0.008,6464
"3430","D015T01","Oxaliplatin mit 5-FU",96,0.04,8882
"3431","D015T01","Olaparib",96,0.008,10570
"3432","D015T01","AZD 5363",96,0.0016,12209
"3433","D015T01","Docetaxel",96,0.008,10809
"3434","D015T01","MK-1775",96,0.2,6979
"3435","D015T01","Palbociclib",96,0.04,11838
"3436","D015T01","Idelalisib",96,0.2,12952
"3437","D015T01","MK-8776",96,1,6787
"3438","D015T01","Phenformin",96,0.2,575
"3439","D015T01","Phenformin",96,0.04,7529
"3440","D015T01","Methotrexate",96,0.0016,12964
"3441","D015T01","YM155",96,0.2,8187
"3442","D015T01","Vinblastin",96,1,8487
"3443","D015T01","Dacarbazine",96,0.008,13095
"3444","D015T01","DMSO",96,0,10019
"3445","D015T01","Taselisib",96,0.008,10234
"3446","D015T01","Olaparib",96,1,215
"3447","D015T01","Dasatinib",96,1,10546
"3448","D015T01","DMSO",96,0,11000
"3449","D015T01","Paclitaxel",96,0.04,9971
"3450","D015T01","DMSO",96,0,11778
"3451","D015T01","Binimetinib",96,0.04,9133
"3452","D015T01","Idelalisib",96,0.008,10797
"3453","D015T01","Etoposid",96,0.04,9133
"3454","D015T01","Bexaroten",96,0.2,11994
"3455","D015T01","Taselisib",96,0.0016,10079
"3456","D015T01","PRI-724",96,0.008,10246
"3457","D015T01","Ponatinib",96,0.2,16327
"3458","D015T01","Erlotinib",96,0.008,14472
"3459","D015T01","Alpelisib",96,0.2,17811
"3460","D015T01","Binimetinib",96,1,15022
"3461","D015T01","Panobinostat",96,0.0016,17548
"3462","D015T01","Volasertib",96,1,16495
"3463","D015T01","17AAG",96,0.04,14460
"3464","D015T01","Crizotinib",96,0.008,18709
"3465","D015T01","Sorafenib",96,0.04,17225
"3466","D015T01","Staurosporine_500nM",96,0,14735
"3467","D015T01","Everolimus",96,1,17380
"3468","D015T01","Gemcitabine",96,0.008,14591
"3469","D015T01","Everolimus",96,0.008,21043
"3470","D015T01","Volasertib",96,0.04,17632
"3471","D015T01","Vinblastin",96,0.2,22073
"3472","D015T01","Cabozantinib",96,0.008,19894
"3473","D015T01","Dacarbazine",96,1,21115
"3474","D015T01","Paclitaxel",96,0.008,15980
"3475","D015T01","Palbociclib",96,1,16399
"3476","D015T01","Dabrafenib mit Trametinib",96,1,10067
"3477","D015T01","Bortezomib",96,0.008,7589
"3478","D015T01","Sunitinib",96,0.04,18925
"3479","D015T01","DMSO",96,0,14376
"3480","D015T01","Dacarbazine",96,0.2,17919
"3481","D015T01","Fludarabine",96,0.0016,18685
"3482","D015T01","AZD 5363",96,0.008,19631
"3483","D015T01","MK-1775",96,0.008,19391
"3484","D015T01","Dabrafenib",96,0.0016,19248
"3485","D015T01","Bleomycin",96,0.2,17213
"3486","D015T01","Lapatinib",96,0.2,18278
"3487","D015T01","Irinotecan / SN-38",96,0.008,10127
"3488","D015T01","Alpelisib",96,0.008,15741
"3489","D015T01","Cabozantinib",96,0.0016,13658
"3490","D015T01","Axitinib",96,0.04,15178
"3491","D015T01","Defactinib",96,0.008,16543
"3492","D015T01","Gefitinib",96,1,14903
"3493","D015T01","Idelalisib",96,0.008,15549
"3494","D015T01","Cabozantinib",96,0.04,17811
"3495","D015T01","Irinotecan / SN-38",96,1,15274
"3496","D015T01","Oxaliplatin mit 5-FU",96,1,13969
"3497","D015T01","Defactinib",96,0.0016,19583
"3498","D015T01","MK-8776",96,1,15274
"3499","D015T01","DMSO",96,0,23282
"3500","D015T01","Miglitol",96,0.04,18194
"3501","D015T01","GSK2636771",96,1,18194
"3502","D015T01","Napabucasin",96,0.2,17345
"3503","D015T01","Paclitaxel",96,0.2,18865
"3504","D015T01","DMSO",96,0,16758
"3505","D015T01","AZD 5363",96,1,16938
"3506","D015T01","DMSO",96,0,19511
"3507","D015T01","5-FU",96,0.0016,17644
"3508","D015T01","Paclitaxel",96,0.0016,15609
"3509","D015T01","Dacarbazine",96,0.008,17656
"3510","D015T01","Bleomycin",96,0.04,17799
"3511","D015T01","Trifluoridin/Tipiracil",96,1,12066
"3512","D015T01","Fludarabine",96,0.2,18925
"3513","D015T01","DMSO",96,0,19499
"3514","D015T01","Gefitinib",96,0.2,15908
"3515","D015T01","Napabucasin",96,0.0016,18721
"3516","D015T01","Miglitol",96,0.008,14663
"3517","D015T01","PRI-724",96,0.008,16902
"3518","D015T01","Dabrafenib mit Trametinib",96,0.2,11587
"3519","D015T01","Sorafenib",96,0.2,11216
"3520","D015T01","Doxorubicin",96,0.04,17979
"3521","D015T01","Miglitol",96,1,17512
"3522","D015T01","MK-8776",96,0.008,18158
"3523","D015T01","PRI-724",96,1,19487
"3524","D015T01","Bortezomib",96,0.0016,16136
"3525","D015T01","Erlotinib",96,1,12580
"3526","D015T01","Birinapant",96,0.008,16734
"3527","D015T01","Cabozantinib",96,0.2,15441
"3528","D015T01","Napabucasin",96,0.008,18554
"3529","D015T01","5-FU",96,1,16112
"3530","D015T01","Staurosporine_500nM",96,0,15429
"3531","D015T01","Vismodegib",96,0.2,17249
"3532","D015T01","Vinblastin",96,0.0016,17584
"3533","D015T01","Defactinib",96,0.2,16961
"3534","D015T01","MK-1775",96,1,12952
"3535","D015T01","Oxaliplatin mit 5-FU",96,0.0016,19176
"3536","D015T01","Afatinib",96,0.2,17033
"3537","D015T01","AZD 5363",96,0.0016,21343
"3538","D015T01","Axitinib",96,0.0016,15573
"3539","D015T01","Gemcitabine",96,1,15741
"3540","D015T01","DMSO",96,0,16662
"3541","D015T01","DMSO",96,0,15046
"3542","D015T01","Oxaliplatin mit 5-FU",96,0.04,17045
"3543","D015T01","DMSO",96,0,15800
"3544","D015T01","GSK2636771",96,0.04,15968
"3545","D015T01","Dabrafenib",96,0.2,16231
"3546","D015T01","DMSO",96,0,15693
"3547","D015T01","Mitomycin C",96,0.2,15992
"3548","D015T01","Axitinib",96,0.2,12485
"3549","D015T01","Vinblastin",96,1,16363
"3550","D015T01","Sorafenib",96,1,299
"3551","D015T01","17AAG",96,1,13562
"3552","D015T01","Palbociclib",96,0.04,20026
"3553","D015T01","Alpelisib",96,0.04,18721
"3554","D015T01","Taselisib",96,0.008,17548
"3555","D015T01","Sunitinib",96,0.0016,17368
"3556","D015T01","DMSO",96,0,23222
"3557","D015T01","AZD 4547",96,0.0016,15046
"3558","D015T01","Dabrafenib",96,0.04,20493
"3559","D015T01","AZD 5363",96,0.04,20050
"3560","D015T01","Mitomycin C",96,0.0016,18984
"3561","D015T01","PRI-724",96,0.04,14077
"3562","D015T01","Irinotecan mit 5-FU",96,1,13598
"3563","D015T01","Vorinostat",96,0.008,17560
"3564","D015T01","Pazopanib",96,1,15310
"3565","D015T01","Erlotinib",96,0.0016,13526
"3566","D015T01","17AAG",96,0.008,22204
"3567","D015T01","Bexaroten",96,0.04,14915
"3568","D015T01","DMSO",96,0,19703
"3569","D015T01","Methotrexate",96,0.04,13909
"3570","D015T01","Taselisib",96,0.2,22156
"3571","D015T01","Vismodegib",96,0.008,19344
"3572","D015T01","Birinapant",96,0.2,15142
"3573","D015T01","Vinblastin",96,0.04,16064
"3574","D015T01","Miglitol",96,0.2,20624
"3575","D015T01","Sorafenib",96,0.0016,17105
"3576","D015T01","DMSO",96,0,17620
"3577","D015T01","Defactinib",96,1,16171
"3578","D015T01","GSK2636771",96,0.008,12904
"3579","D015T01","MK-8776",96,0.2,16626
"3580","D015T01","Alpelisib",96,0.0016,17464
"3581","D015T01","Sorafenib",96,0.008,18949
"3582","D015T01","Irinotecan mit 5-FU",96,0.2,9983
"3583","D015T01","Irinotecan mit 5-FU",96,0.0016,18422
"3584","D015T01","Ponatinib",96,0.0016,16519
"3585","D015T01","5-FU",96,0.2,13694
"3586","D015T01","Vismodegib",96,0.04,16566
"3587","D015T01","MK-1775",96,0.04,15800
"3588","D015T01","Oxaliplatin mit 5-FU",96,0.008,16136
"3589","D015T01","Volasertib",96,0.0016,16614
"3590","D015T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.2,13287
"3591","D015T01","Sunitinib",96,1,18745
"3592","D015T01","Vorinostat",96,0.04,20050
"3593","D015T01","Ponatinib",96,1,17009
"3594","D015T01","Vorinostat",96,0.2,12940
"3595","D015T01","Methotrexate",96,0.0016,18386
"3596","D015T01","DMSO",96,0,18721
"3597","D015T01","Trametinib",96,0.04,17368
"3598","D015T01","Panobinostat",96,0.008,24778
"3599","D015T01","Dabrafenib mit Trametinib",96,0.008,30033
"3600","D015T01","Pazopanib",96,0.008,18147
"3601","D015T01","Ruxolitinib",96,0.04,18039
"3602","D015T01","MK-1775",96,0.2,12521
"3603","D015T01","Staurosporine_500nM",96,0,16495
"3604","D015T01","Trifluoridin/Tipiracil",96,0.2,16507
"3605","D015T01","Irinotecan mit 5-FU + Gefitinib",96,0.04,11348
"3606","D015T01","Panobinostat",96,0.2,13849
"3607","D015T01","Birinapant",96,0.04,16602
"3608","D015T01","Mitomycin C",96,1,16830
"3609","D015T01","Nutlin3a",96,1,13718
"3610","D015T01","DMSO",96,0,19751
"3611","D015T01","Dasatinib",96,0.04,19427
"3612","D015T01","Crizotinib",96,0.0016,20541
"3613","D015T01","Doxorubicin",96,0.0016,18230
"3614","D015T01","Bexaroten",96,0.2,16267
"3615","D015T01","Sunitinib",96,0.2,19619
"3616","D015T01","Crizotinib",96,0.2,20385
"3617","D015T01","Fludarabine",96,0.008,21115
"3618","D015T01","Vorinostat",96,1,3902
"3619","D015T01","Methotrexate",96,0.008,19152
"3620","D015T01","Mitomycin C",96,0.04,19906
"3621","D015T01","Volasertib",96,0.008,14951
"3622","D015T01","Etoposid",96,1,11383
"3623","D015T01","PRI-724",96,0.0016,14867
"3624","D015T01","Panobinostat",96,0.04,19607
"3625","D015T01","DMSO",96,0,13957
"3626","D015T01","Afatinib",96,1,15741
"3627","D015T01","5-FU",96,0.04,17153
"3628","D015T01","Nutlin3a",96,0.0016,18003
"3629","D015T01","Nutlin3a",96,0.008,15190
"3630","D015T01","Gemcitabine",96,0.0016,13694
"3631","D015T01","5-FU",96,0.008,15609
"3632","D015T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.008,15250
"3633","D015T01","Docetaxel",96,0.008,15633
"3634","D015T01","Erlotinib",96,0.04,15513
"3635","D015T01","GSK2636771",96,0.0016,17656
"3636","D015T01","VX-702",96,0.04,17237
"3637","D015T01","Bexaroten",96,1,14244
"3638","D015T01","DMSO",96,0,15250
"3639","D015T01","Fludarabine",96,0.04,15741
"3640","D015T01","Panobinostat",96,1,7673
"3641","D015T01","Miglitol",96,0.0016,17847
"3642","D015T01","Idelalisib",96,0.04,16914
"3643","D015T01","Irinotecan mit 5-FU",96,0.008,14388
"3644","D015T01","Etoposid",96,0.2,13071
"3645","D015T01","Ruxolitinib",96,0.2,15334
"3646","D015T01","Bleomycin",96,0.008,16973
"3647","D015T01","Crizotinib",96,0.04,13837
"3648","D015T01","Dacarbazine",96,0.0016,14771
"3649","D015T01","DMSO",96,0,15956
"3650","D015T01","YM155",96,0.008,17141
"3651","D015T01","Afatinib",96,0.008,14448
"3652","D015T01","Staurosporine_500nM",96,0,15226
"3653","D015T01","Vorinostat",96,0.0016,14951
"3654","D015T01","Paclitaxel",96,0.04,14735
"3655","D015T01","Taselisib",96,0.04,21941
"3656","D015T01","DMSO",96,0,16674
"3657","D015T01","Idelalisib",96,0.2,18781
"3658","D015T01","Bexaroten",96,0.008,12964
"3659","D015T01","Paclitaxel",96,1,17716
"3660","D015T01","Erlotinib",96,0.2,16255
"3661","D015T01","Trifluoridin/Tipiracil",96,0.0016,17368
"3662","D015T01","Etoposid",96,0.008,17895
"3663","D015T01","Phenformin",96,0.04,15980
"3664","D015T01","Dacarbazine",96,0.04,14771
"3665","D015T01","AZD 5363",96,0.2,24730
"3666","D015T01","PRI-724",96,0.2,18063
"3667","D015T01","Dabrafenib mit Trametinib",96,0.0016,18362
"3668","D015T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.04,16375
"3669","D015T01","DMSO",96,0,15106
"3670","D015T01","Irinotecan mit 5-FU + Gefitinib",96,1,8858
"3671","D015T01","Staurosporine_500nM",96,0,13789
"3672","D015T01","Nutlin3a",96,0.04,12413
"3673","D015T01","Vinblastin",96,0.008,15429
"3674","D015T01","Fludarabine",96,1,12820
"3675","D015T01","DMSO",96,0,17201
"3676","D015T01","VX-702",96,1,19894
"3677","D015T01","Olaparib",96,1,551
"3678","D015T01","GSK2636771",96,0.2,15477
"3679","D015T01","Pazopanib",96,0.2,12868
"3680","D015T01","Napabucasin",96,1,12987
"3681","D015T01","Trifluoridin/Tipiracil",96,0.04,18589
"3682","D015T01","Ponatinib",96,0.008,17979
"3683","D015T01","Docetaxel",96,0.04,16590
"3684","D015T01","DMSO",96,0,17189
"3685","D015T01","Ruxolitinib",96,0.0016,17644
"3686","D015T01","Etoposid",96,0.04,14077
"3687","D015T01","Oxaliplatin mit 5-FU",96,0.2,16985
"3688","D015T01","Pazopanib",96,0.0016,14172
"3689","D015T01","VX-702",96,0.2,19116
"3690","D015T01","Alisertib",96,1,17560
"3691","D015T01","Olaparib",96,0.008,16758
"3692","D015T01","Afatinib",96,0.04,16806
"3693","D015T01","Alisertib",96,0.008,18937
"3694","D015T01","Mitomycin C",96,0.008,18853
"3695","D015T01","Alisertib",96,0.0016,14747
"3696","D015T01","Pazopanib",96,0.04,13011
"3697","D015T01","Axitinib",96,0.008,18314
"3698","D015T01","YM155",96,1,8199
"3699","D015T01","Gemcitabine",96,0.2,15717
"3700","D015T01","DMSO",96,0,14699
"3701","D015T01","Irinotecan mit 5-FU + Gefitinib",96,0.008,15082
"3702","D015T01","Axitinib",96,1,16938
"3703","D015T01","Regorafenib",96,0.04,17775
"3704","D015T01","VX-702",96,0.008,17225
"3705","D015T01","Bleomycin",96,1,16794
"3706","D015T01","Staurosporine_500nM",96,0,16555
"3707","D015T01","Birinapant",96,1,15573
"3708","D015T01","Docetaxel",96,0.0016,17536
"3709","D015T01","Crizotinib",96,1,19403
"3710","D015T01","Irinotecan mit 5-FU",96,0.04,10570
"3711","D015T01","Ruxolitinib",96,0.008,19164
"3712","D015T01","Docetaxel",96,1,14783
"3713","D015T01","Staurosporine_500nM",96,0,14579
"3714","D015T01","VX-702",96,0.0016,23234
"3715","D015T01","Alisertib",96,0.2,20241
"3716","D015T01","DMSO",96,0,18410
"3717","D015T01","Idelalisib",96,0.0016,19535
"3718","D015T01","DMSO",96,0,17428
"3719","D015T01","MK-1775",96,0.0016,20229
"3720","D015T01","Idelalisib",96,1,15369
"3721","D015T01","Sonidegib",96,0.2,14280
"3722","D015T01","Methotrexate",96,1,16148
"3723","D015T01","Irinotecan mit 5-FU + Gefitinib",96,0.2,10653
"3724","D015T01","DMSO",96,0,20576
"3725","D015T01","DMSO",96,0,15980
"3726","D015T01","Vismodegib",96,0.0016,18829
"3727","D015T01","YM155",96,0.04,15429
"3728","D015T01","Trifluoridin/Tipiracil",96,0.008,18649
"3729","D015T01","AZD 4547",96,0.04,15860
"3730","D015T01","Staurosporine_500nM",96,0,16004
"3731","D015T01","DMSO",96,0,15465
"3732","D015T01","DMSO",96,0,16842
"3733","D015T01","DMSO",96,0,15621
"3734","D015T01","Phenformin",96,1,1496
"3735","D015T01","Lapatinib",96,0.0016,17105
"3736","D015T01","Napabucasin",96,0.04,15322
"3737","D015T01","Olaparib",96,0.0016,15501
"3738","D015T01","Palbociclib",96,0.008,17225
"3739","D015T01","Bortezomib",96,0.04,6332
"3740","D015T01","Irinotecan mit 5-FU + Gefitinib",96,0.0016,14125
"3741","D015T01","Bortezomib",96,1,3878
"3742","D015T01","YM155",96,0.2,13801
"3743","D015T01","MK-8776",96,0.04,17847
"3744","D015T01","Docetaxel",96,0.2,16854
"3745","D015T01","Gemcitabine",96,0.04,15860
"3746","D015T01","Irinotecan / SN-38",96,0.2,14795
"3747","D015T01","Staurosporine_500nM",96,0,15381
"3748","D015T01","Ruxolitinib",96,1,13418
"3749","D015T01","Binimetinib",96,0.0016,15393
"3750","D015T01","Sunitinib",96,0.008,14376
"3751","D015T01","Dabrafenib",96,0.008,19332
"3752","D015T01","Bexaroten",96,0.0016,15154
"3753","D015T01","Dasatinib",96,0.2,14759
"3754","D015T01","LGK974",96,0.2,2550
"3755","D015T01","Ponatinib",96,0.04,18302
"3756","D015T01","AZD 4547",96,0.008,18111
"3757","D015T01","Venetoclax",96,0.2,16698
"3758","D015T01","LGK974",96,0.0016,15717
"3759","D015T01","Lapatinib",96,0.008,19224
"3760","D015T01","Dasatinib",96,0.008,19164
"3761","D015T01","Sonidegib",96,1,13466
"3762","D015T01","Regorafenib",96,0.008,18889
"3763","D015T01","Trametinib",96,1,14005
"3764","D015T01","Alisertib",96,0.04,18554
"3765","D015T01","Bortezomib",96,0.2,5985
"3766","D015T01","Venetoclax",96,0.04,13873
"3767","D015T01","Palbociclib",96,0.0016,18853
"3768","D015T01","Oxaliplatin",96,1,15729
"3769","D015T01","Methotrexate",96,0.2,19403
"3770","D015T01","Olaparib",96,0.2,11659
"3771","D015T01","LGK974",96,1,13287
"3772","D015T01","Oxaliplatin",96,0.0016,14711
"3773","D015T01","Etoposid",96,0.0016,13059
"3774","D015T01","YM155",96,0.0016,15322
"3775","D015T01","Oxaliplatin",96,0.04,14520
"3776","D015T01","Doxorubicin",96,1,18362
"3777","D015T01","Palbociclib",96,0.2,19822
"3778","D015T01","Dasatinib",96,1,10929
"3779","D015T01","Sonidegib",96,0.0016,15070
"3780","D015T01","Venetoclax",96,0.008,17512
"3781","D015T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.0016,13658
"3782","D015T01","DMSO",96,0,21139
"3783","D015T01","Dabrafenib",96,1,14484
"3784","D015T01","Taselisib",96,1,26956
"3785","D015T01","Binimetinib",96,0.2,15381
"3786","D015T01","Sonidegib",96,0.008,14783
"3787","D015T01","Phenformin",96,0.0016,14460
"3788","D015T01","Nutlin3a",96,0.2,16148
"3789","D015T01","MK-8776",96,0.0016,17548
"3790","D015T01","Alpelisib",96,1,17105
"3791","D015T01","Gefitinib",96,0.0016,17321
"3792","D015T01","Trametinib",96,0.2,13191
"3793","D015T01","Staurosporine_500nM",96,0,17189
"3794","D015T01","Venetoclax",96,1,12772
"3795","D015T01","Phenformin",96,0.008,15657
"3796","D015T01","Trametinib",96,0.008,16267
"3797","D015T01","Trametinib",96,0.0016,16973
"3798","D015T01","Everolimus",96,0.2,19583
"3799","D015T01","Regorafenib",96,1,826
"3800","D015T01","AZD 4547",96,0.2,18984
"3801","D015T01","Defactinib",96,0.04,12173
"3802","D015T01","Oxaliplatin",96,0.2,14017
"3803","D015T01","LGK974",96,0.04,12473
"3804","D015T01","Binimetinib",96,0.008,17105
"3805","D015T01","Binimetinib",96,0.04,13323
"3806","D015T01","Oxaliplatin",96,0.008,19583
"3807","D015T01","Doxorubicin",96,0.2,21354
"3808","D015T01","Staurosporine_500nM",96,0,13981
"3809","D015T01","LGK974",96,0.008,14891
"3810","D015T01","DMSO",96,0,16028
"3811","D015T01","Irinotecan / SN-38",96,0.04,10917
"3812","D015T01","Everolimus",96,0.0016,16507
"3813","D015T01","Regorafenib",96,0.2,16866
"3814","D015T01","Venetoclax",96,0.0016,17740
"3815","D015T01","Dabrafenib mit Trametinib",96,0.04,19870
"3816","D015T01","Phenformin",96,0.2,1580
"3817","D015T01","17AAG",96,0.0016,18075
"3818","D015T01","Vismodegib",96,1,16495
"3819","D015T01","AZD 4547",96,1,16435
"3820","D015T01","Sonidegib",96,0.04,21366
"3821","D015T01","Staurosporine_500nM",96,0,14903
"3822","D015T01","Taselisib",96,0.0016,16650
"3823","D015T01","Oxaliplatin mit 5-FU + Gefitinib",96,1,14292
"3824","D015T01","Lapatinib",96,1,20086
"3825","D015T01","17AAG",96,0.2,14879
"3826","D015T01","Afatinib",96,0.0016,13694
"3827","D015T01","Lapatinib",96,0.04,18027
"3828","D015T01","Bleomycin",96,0.0016,18697
"3829","D015T01","Regorafenib",96,0.0016,17285
"3830","D015T01","Gefitinib",96,0.008,17440
"3831","D015T01","Olaparib",96,0.04,14412
"3832","D015T01","DMSO",96,0,19619
"3833","D015T01","Everolimus",96,0.04,18386
"3834","D015T01","Dasatinib",96,0.0016,16746
"3835","D015T01","Irinotecan / SN-38",96,0.0016,14699
"3836","D015T01","Doxorubicin",96,0.008,17584
"3837","D015T01","Gefitinib",96,0.04,13622
"3838","D015T01","Cabozantinib",96,1,10905
"3839","D015T01","Volasertib",96,0.2,16064
"3840","D015T01","Birinapant",96,0.0016,16327
"3841","D018T01","PRI-724",96,1,7180
"3842","D018T01","GSK2636771",96,0.0016,10130
"3843","D018T01","DMSO",96,0,7790
"3844","D018T01","Crizotinib",96,0.0016,13090
"3845","D018T01","MK-1775",96,0.04,9230
"3846","D018T01","Pazopanib",96,0.2,9460
"3847","D018T01","Cabozantinib",96,0.008,12270
"3848","D018T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.2,9910
"3849","D018T01","Trifluoridin/Tipiracil",96,1,8330
"3850","D018T01","Napabucasin",96,0.2,8380
"3851","D018T01","Oxaliplatin mit 5-FU",96,1,6700
"3852","D018T01","Panobinostat",96,0.008,11600
"3853","D018T01","Panobinostat",96,1,60
"3854","D018T01","Sorafenib",96,1,3050
"3855","D018T01","Pazopanib",96,1,8330
"3856","D018T01","Dasatinib",96,0.2,6260
"3857","D018T01","Oxaliplatin mit 5-FU",96,0.2,10270
"3858","D018T01","Dacarbazine",96,1,11970
"3859","D018T01","AZD 4547",96,1,10040
"3860","D018T01","Oxaliplatin mit 5-FU",96,0.04,10230
"3861","D018T01","Napabucasin",96,0.04,10100
"3862","D018T01","Etoposid",96,0.2,10790
"3863","D018T01","Miglitol",96,0.04,8470
"3864","D018T01","Ponatinib",96,0.2,11360
"3865","D018T01","Dabrafenib",96,0.2,9680
"3866","D018T01","Mitomycin C",96,0.2,8890
"3867","D018T01","Olaparib",96,0.0016,10170
"3868","D018T01","Irinotecan / SN-38",96,0.04,1020
"3869","D018T01","Erlotinib",96,0.2,10870
"3870","D018T01","Doxorubicin",96,0.2,490
"3871","D018T01","Fludarabine",96,0.2,8580
"3872","D018T01","Miglitol",96,1,11650
"3873","D018T01","Dabrafenib",96,0.0016,11520
"3874","D018T01","DMSO",96,0,9610
"3875","D018T01","Methotrexate",96,0.008,4940
"3876","D018T01","Staurosporine_500nM",96,0,6130
"3877","D018T01","Cabozantinib",96,0.2,8980
"3878","D018T01","Volasertib",96,0.2,6620
"3879","D018T01","DMSO",96,0,10450
"3880","D018T01","Staurosporine_500nM",96,0,4990
"3881","D018T01","DMSO",96,0,10320
"3882","D018T01","Bleomycin",96,1,6300
"3883","D018T01","Sorafenib",96,0.04,7990
"3884","D018T01","Venetoclax",96,0.04,8860
"3885","D018T01","Palbociclib",96,0.2,12040
"3886","D018T01","Crizotinib",96,0.2,12490
"3887","D018T01","Afatinib",96,1,1360
"3888","D018T01","MK-1775",96,1,7470
"3889","D018T01","Vorinostat",96,0.0016,7860
"3890","D018T01","Oxaliplatin mit 5-FU",96,0.0016,9200
"3891","D018T01","Gemcitabine",96,1,7560
"3892","D018T01","VX-702",96,1,10110
"3893","D018T01","DMSO",96,0,10740
"3894","D018T01","DMSO",96,0,9210
"3895","D018T01","Docetaxel",96,0.0016,9170
"3896","D018T01","MK-1775",96,0.0016,8210
"3897","D018T01","Ponatinib",96,0.0016,10430
"3898","D018T01","Afatinib",96,0.0016,8810
"3899","D018T01","Staurosporine_500nM",96,0,4860
"3900","D018T01","Miglitol",96,0.2,9530
"3901","D018T01","DMSO",96,0,9440
"3902","D018T01","AZD 5363",96,0.2,13620
"3903","D018T01","Nutlin3a",96,0.008,11270
"3904","D018T01","Venetoclax",96,0.008,9530
"3905","D018T01","Sorafenib",96,0.0016,9490
"3906","D018T01","Alisertib",96,0.008,9600
"3907","D018T01","Doxorubicin",96,0.0016,10380
"3908","D018T01","Alisertib",96,0.0016,10280
"3909","D018T01","Paclitaxel",96,0.0016,8250
"3910","D018T01","Ruxolitinib",96,0.2,11260
"3911","D018T01","Irinotecan mit 5-FU + Gefitinib",96,1,180
"3912","D018T01","AZD 5363",96,0.008,9830
"3913","D018T01","Vismodegib",96,0.04,9920
"3914","D018T01","Sunitinib",96,0.008,9580
"3915","D018T01","Everolimus",96,1,9620
"3916","D018T01","Afatinib",96,0.04,7340
"3917","D018T01","DMSO",96,0,10080
"3918","D018T01","Defactinib",96,0.008,10480
"3919","D018T01","Trifluoridin/Tipiracil",96,0.0016,11010
"3920","D018T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.008,8960
"3921","D018T01","GSK2636771",96,1,8660
"3922","D018T01","Dacarbazine",96,0.2,10710
"3923","D018T01","Venetoclax",96,0.0016,9720
"3924","D018T01","5-FU",96,0.04,10850
"3925","D018T01","VX-702",96,0.008,11040
"3926","D018T01","Oxaliplatin",96,0.008,10020
"3927","D018T01","Dasatinib",96,0.0016,9500
"3928","D018T01","Lapatinib",96,0.2,9720
"3929","D018T01","Vinblastin",96,0.2,4810
"3930","D018T01","Palbociclib",96,0.0016,8860
"3931","D018T01","Axitinib",96,0.04,11350
"3932","D018T01","VX-702",96,0.2,10570
"3933","D018T01","LGK974",96,0.2,10650
"3934","D018T01","Birinapant",96,1,9970
"3935","D018T01","DMSO",96,0,7430
"3936","D018T01","Vismodegib",96,0.0016,9570
"3937","D018T01","Irinotecan mit 5-FU + Gefitinib",96,0.2,2000
"3938","D018T01","DMSO",96,0,11090
"3939","D018T01","DMSO",96,0,7630
"3940","D018T01","Birinapant",96,0.008,9760
"3941","D018T01","Bexaroten",96,0.0016,9240
"3942","D018T01","Taselisib",96,0.0016,9970
"3943","D018T01","Dacarbazine",96,0.04,8910
"3944","D018T01","AZD 5363",96,1,11660
"3945","D018T01","Staurosporine_500nM",96,0,5130
"3946","D018T01","Oxaliplatin mit 5-FU",96,0.008,10990
"3947","D018T01","Fludarabine",96,1,10660
"3948","D018T01","Gemcitabine",96,0.04,7690
"3949","D018T01","Taselisib",96,0.008,10430
"3950","D018T01","DMSO",96,0,9650
"3951","D018T01","Dabrafenib mit Trametinib",96,0.0016,9170
"3952","D018T01","Irinotecan mit 5-FU",96,0.2,1110
"3953","D018T01","Everolimus",96,0.0016,8610
"3954","D018T01","LGK974",96,0.008,10450
"3955","D018T01","LGK974",96,0.0016,8610
